"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210887","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",0.0427292621367297,7.89733033545432,0.214976464741298,0.833624074284604,0.951872488551086,-6.50264446724689
"2","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",0.114299128458036,8.66351715583246,0.687274411355654,0.505798533879913,0.814526765427139,-6.28073671358513
"3","17211000","Rrs1","59014","ribosome biogenesis regulator 1",-0.180230316737431,5.52935197275634,-0.542467094908556,0.598053594507218,0.856904016770647,-6.37245316562181
"4","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.0212159606268543,8.78830145129257,0.130937071125602,0.89813179930669,0.970420274707166,-6.51809228209384
"5","17211174","A830018L16Rik","320492","RIKEN cDNA A830018L16 gene",-1.40624459199353,5.09580817057072,-4.22568561637753,0.00134728963069948,0.0508061140221324,-0.901643892991915
"6","17211258","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",-0.125835533545737,6.23830917614575,-0.679168916805179,0.510729993744605,0.816804999500621,-6.28639961683123
"7","17211286","Ly96","17087","lymphocyte antigen 96",-0.434692993124211,8.43903441373474,-1.08805813255852,0.299276799885094,0.659027360409388,-5.92793191863075
"8","17211396","Tmem14a","75712","transmembrane protein 14A",0.0132420114380647,3.49858401007631,0.0461766656789773,0.96397704764342,0.987195490369372,-6.52608559432219
"9","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",0.048884264014676,4.86711900598082,0.131714059834877,0.897531088514324,0.97019453221121,-6.51798369539627
"10","17211700","Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein",-0.129599948107433,8.60090331368295,-0.969514229483616,0.352623393457087,0.704580690514158,-6.04650025952083
"11","17211713","Ptpn18","19253","protein tyrosine phosphatase, non-receptor type 18",0.383460267972159,4.54839030979131,1.82987005378508,0.0938079531526643,0.408699084378615,-4.96935552060062
"12","17211774","Plekhb2","226971","pleckstrin homology domain containing, family B (evectins) member 2",0.0769483792633983,7.28708916065476,0.447711148899801,0.662840306580001,0.889972595284907,-6.42135888329221
"13","17211790","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",0.58726673899247,7.71911374788877,2.83924547200903,0.0157503821704342,0.179995463112105,-3.30796155059929
"14","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",0.430033984908271,4.73780688747631,0.894325440305627,0.389836158826163,0.736414311359473,-6.11572371277539
"15","17211822","Cnnm4","94220","cyclin M4",-0.133966952573488,4.97763894160967,-0.586479490054401,0.569107058131594,0.847651382235753,-6.34671765888786
"16","17211832","Cnnm3","94218","cyclin M3",0.221018656849304,5.67686230727688,1.45590078406837,0.172689295040982,0.52955106075227,-5.49409022101556
"17","17211850","Cox5b","12859","cytochrome c oxidase subunit 5B",-0.356447537373925,4.91606663458306,-1.47401053108055,0.167838524086664,0.523517902431175,-5.47042907884377
"18","17211857","4933424G06Rik","71166","RIKEN cDNA 4933424G06 gene",0.396908264460199,2.09012022973523,1.19381974402392,0.257057174842474,0.618237542993457,-5.81293090601051
