"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210887","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",-0.463021070282143,7.89733033545432,-1.64713218489962,0.127088402261177,0.538294459864713,-4.90850146140188
"2","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",-0.065777204654621,8.66351715583246,-0.279653015663276,0.784806814401293,0.933252582618825,-6.12810969141941
"3","17211000","Rrs1","59014","ribosome biogenesis regulator 1",0.0377259762574909,5.52935197275634,0.0802890311062576,0.937414629305238,0.985093052914768,-6.16534695999677
"4","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.0928311292161723,8.78830145129257,0.405088058614595,0.692991769068492,0.896004447267259,-6.083861040471
"5","17211174","A830018L16Rik","320492","RIKEN cDNA A830018L16 gene",-0.047771168431888,5.09580817057072,-0.101501479431378,0.920934756428814,0.979656234751902,-6.16333962497725
"6","17211258","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",0.197628290910288,6.23830917614575,0.754195466503673,0.466189794019823,0.786314894659924,-5.87992513281278
"7","17211286","Ly96","17087","lymphocyte antigen 96",-0.217879657213521,8.43903441373473,-0.385618352129624,0.706954828506942,0.899594136492214,-6.09176651683959
"8","17211396","Tmem14a","75712","transmembrane protein 14A",-0.397651916573811,3.49858401007632,-0.980483616548368,0.34741542216307,0.718295087318693,-5.68896536975901
"9","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",-0.426427558027897,4.86711900598082,-0.812417707132274,0.433368551404359,0.772386473326551,-5.83496885514339
"10","17211700","Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein",0.0165516548829672,8.60090331368295,0.0875463150531773,0.931772629377733,0.983153265193455,-6.16471284453066
"11","17211713","Ptpn18","19253","protein tyrosine phosphatase, non-receptor type 18",-0.274520642450518,4.54839030979131,-0.92627151993626,0.373704212792767,0.733587885238447,-5.73862373229109
"12","17211774","Plekhb2","226971","pleckstrin homology domain containing, family B (evectins) member 2",-0.458540622227617,7.28708916065477,-1.88640187677413,0.0852453678048642,0.473226763163326,-4.56785374409358
"13","17211790","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",0.155908944340058,7.71911374788877,0.532968691711292,0.604399818281714,0.8549976674655,-6.02263782046986
"14","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",0.623323470355218,4.73780688747631,0.916597763109103,0.378539250707489,0.73621220030594,-5.74723274368063
"15","17211822","Cnnm4","94220","cyclin M4",0.15865346439764,4.97763894160967,0.491099974868025,0.632773814056146,0.864958547133838,-6.04444405521729
"16","17211832","Cnnm3","94218","cyclin M3",-0.361801415481039,5.67686230727688,-1.68510273094094,0.119412435096306,0.523787565099476,-4.85616309333296
"17","17211850","Cox5b","12859","cytochrome c oxidase subunit Vb",-0.4658414318523,4.91606663458306,-1.36210095509533,0.19975454059073,0.609385521773702,-5.27698988402698
"18","17211857","4933424G06Rik","71166","RIKEN cDNA 4933424G06 gene",-0.376657415276478,2.09012022973523,-0.801060503646728,0.439649324918345,0.777422361692285,-5.84397176407321
"19","17211867","Zap70","22637","zeta-chain (TCR) associated protein kinase",-0.475531839705949,2.75015709477082,-1.43923219207693,0.17726011725674,0.587406731108248,-5.18183016485411
"20","17211990","Lipt1","623661","lipoyltransferase 1",0.242843817006538,5.84482574712625,0.883676771545628,0.395320314244357,0.745970075442466,-5.77594864658107
"21","17212018","Eif5b","226982","eukaryotic translation initiation factor 5B",-0.00940978454981334,6.16688809896978,-0.0446133106389231,0.965195779813176,0.9917354464856,-6.16766738770736
"22","17212087","Npas2","18143","neuronal PAS domain protein 2",-0.254364561096759,4.33277556010315,-0.827254696710782,0.425252774748263,0.768381017326186,-5.82303886026355
"23","17212174","Il1r2","16178","interleukin 1 receptor, type II",0.684654467012979,3.56702957848417,1.40739897552672,0.186271365325614,0.598072039712533,-5.22154069756306
"24","17212185","Il1r1","16177","interleukin 1 receptor, type I",0.287277969466739,6.86150618329913,0.58333521516507,0.571150135786031,0.838024624170488,-5.99417067614212
"25","17212199","Il1rl2","107527","interleukin 1 receptor-like 2",-0.156850114007318,5.21823996002505,-0.481225186718244,0.639558866796764,0.867301397930588,-6.04933883127259
"26","17212286","Slc9a2","226999","solute carrier family 9 (sodium/hydrogen exchanger), member 2",0.372638298323241,1.9476399382376,0.87722116476408,0.398670181908382,0.747724750183388,-5.78147336705573
"27","17212346","AI597479","98404","expressed sequence AI597479",-0.915485723511238,5.5604986102752,-3.18152350396089,0.00848664949060033,0.217728567351649,-2.46884069358761
"28","17212406","Bivm","246229","basic, immunoglobulin-like variable motif containing",-0.570723923457104,5.52673842991199,-1.82599806231826,0.0944235812115464,0.486975614881217,-4.65616918670919
"29","17212442","Gulp1","70676","GULP, engulfment adaptor PTB domain containing 1",-0.286901402513272,7.00548027375822,-0.96372255708873,0.355397145721929,0.723090936241564,-5.70457256169682
"30","17212792","Hibch","227095","3-hydroxyisobutyryl-Coenzyme A hydrolase",-0.0682355355948108,8.83186523049355,-0.22237029210456,0.828001979845509,0.949073255377435,-6.14300278839621
"31","17212813","Mstn","17700","myostatin",0.664715230172147,2.15879104818128,0.513970344140101,0.617194532674937,0.859721445010481,-6.03274307864098
"32","17212821","Ormdl1","227102","ORM1-like 1 (S. cerevisiae)",-0.596010173420861,5.85487693441151,-2.54328846468984,0.0268644426200572,0.324063614826927,-3.53526375755725
"33","17212874","Coq10b","67876","coenzyme Q10B",0.300754168774686,8.91581651838082,1.13277586853807,0.280819675400626,0.678029284345762,-5.53712304567012
"34","17212882","Hspe1","15528","heat shock protein 1 (chaperonin 10)",-0.547611929350364,7.61255275646048,-2.50060832118397,0.0290040273020593,0.336165370643033,-3.60526981480254
"35","17212931","1700066M21Rik","73467","RIKEN cDNA 1700066M21 gene",0.0659254382805159,5.59491113774422,0.209762501608394,0.837594807850858,0.952579650574267,-6.14582882134432
"36","17212982","Aox1","11761","aldehyde oxidase 1",0.178012777032541,7.21162390743395,0.58355421709507,0.571007742585705,0.838024624170488,-5.99404161588229
"37","17213139","Bzw1","66882","basic leucine zipper and W2 domains 1",0.0469243082066377,9.84457965499911,0.200452093612192,0.844696545086195,0.954624743632679,-6.14781074196881
"38","17213213","Casp8","12370","caspase 8",0.316880725642747,8.58499180193764,1.39758592648817,0.189125724088314,0.598849345403219,-5.23365941702369
"39","17213226","Stradb","227154","STE20-related kinase adaptor beta",-0.0413799296860571,6.72797226275894,-0.16779727924152,0.869714333901717,0.963173296665897,-6.15405546095813
"40","17213295","Nop58","55989","NOP58 ribonucleoprotein",0.362047207320658,6.44608822150627,0.770297330149244,0.456958443234769,0.783942562965403,-5.86779087380336
"41","17213349","Carf","241066","calcium response factor",-0.192269473480397,5.37066272370369,-0.78733102291044,0.447320952265664,0.782416330770348,-5.85470484597438
"42","17213446","Abi2","329165","abl-interactor 2",-0.220404042260653,6.28003503142811,-0.987563925122805,0.344082957747534,0.715606650682979,-5.6823049071458
"43","17213473","2310016D23Rik","76443","RIKEN cDNA 2310016D23 gene",0.200021398708011,1.8642465775311,0.389212649403256,0.704368461923752,0.899594136492214,-6.09033556738838
"44","17213598","Zdbf2","73884","zinc finger, DBF-type containing 2",0.360001005850819,3.0664202706592,1.1701115712208,0.26609217229866,0.663594184637145,-5.49724670112776
"45","17213645","Fastkd2","75619","FAST kinase domains 2",0.0329019597734135,4.7632131994514,0.0957387671570252,0.925408306482681,0.980234500796361,-6.16393122168072
"46","17213687","Ccnyl1","227210","cyclin Y-like 1",-0.117093954272345,6.65799774314059,-0.451905930325399,0.659905581969426,0.877729391023127,-6.06330951177719
"47","17213770","Map2","17756","microtubule-associated protein 2",0.291198441506942,3.81583346282423,1.26671620439114,0.23079540354598,0.639404540632235,-5.38950467935078
"48","17213990","Atic","108147","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase",-0.0843195686223428,7.74867360180009,-0.361150762747878,0.72466200934672,0.907605498446779,-6.10116372156854
"49","17214053","Xrcc5","22596","X-ray repair complementing defective repair in Chinese hamster cells 5",0.295399786015987,4.96631714255481,1.21148461468911,0.250485866100029,0.652867525835242,-5.45189590831115
"50","17214100","Rpl37a","19981","ribosomal protein L37a",0.16538685748209,2.15554826579991,0.591144619845515,0.566084438893165,0.835919523211735,-5.9895404266066
"51","17214126","Rufy4","435626","RUN and FYVE domain containing 4",-0.445066481054985,4.3184574244939,-1.24929640878153,0.236866577993732,0.642862323441811,-5.40940686812345
"52","17214142","Cxcr2","12765","chemokine (C-X-C motif) receptor 2",-0.655130931623826,2.76993714681856,-0.880534030463909,0.396948685816748,0.746893687946311,-5.77864258953832
"53","17214162","Gpbar1","227289","G protein-coupled bile acid receptor 1",0.952513194621283,2.84553041153701,2.85113747397099,0.0154159673211714,0.261200485854197,-3.02391713303603
"54","17214166","Pnkd","56695","paroxysmal nonkinesiogenic dyskinesia",0.0682263017484175,7.77933165269726,0.284702151593351,0.781032973718672,0.932668640375607,-6.12663610413495
"55","17214197","Slc11a1","18173","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",-0.375525287874202,6.03639857581216,-0.846697890752385,0.414771277280146,0.759711283376338,-5.80711791139842
"56","17214341","Ttll4","67534","tubulin tyrosine ligase-like family, member 4",-0.0952062474012667,6.00850091562622,-0.282793730104651,0.782458688229878,0.932668640375607,-6.12719612997872
"57","17214449","Stk16","20872","serine/threonine kinase 16",0.262648019714891,8.46608669218952,0.935948363875455,0.36891128582152,0.730273891867153,-5.72993498396618
"58","17214462","Dnajb2","56812","DnaJ heat shock protein family (Hsp40) member B2",-0.627204984854146,6.08945985044555,-2.20179462386975,0.0493550543903063,0.393136276537924,-4.08595627339682
"59","17214476","Des","13346","desmin",-0.206326888805085,9.61990027660164,-0.416983609575117,0.684518278054504,0.889895181656617,-6.07884514016982
"60","17214487","Speg","11790","SPEG complex locus",-0.234277201491589,4.52153090628605,-0.546805896851111,0.59516689540262,0.849955009196408,-6.01505887971045
"61","17214672","Mogat1","68393","monoacylglycerol O-acyltransferase 1",0.0697454487530003,3.45870985550338,0.223226937398221,0.827351226909572,0.949073255377435,-6.14280484185961
"62","17214711","Kcne4","57814","potassium voltage-gated channel, Isk-related subfamily, gene 4",0.894421542652545,4.58602302577869,2.18994247227765,0.0503952450366986,0.396539278624761,-4.10460771853569
"63","17214759","Rhbdd1","76867","rhomboid domain containing 1",-0.0170162333148758,7.24129383731195,-0.0701896495928285,0.945272033857147,0.987587817292313,-6.16613824969389
"64","17214841","Agfg1","15463","ArfGAP with FG repeats 1",0.278888922134385,9.42434540636994,1.28915617679372,0.223160599502197,0.631400848094292,-5.3635677668514
"65","17214857","Ccl20","20297","chemokine (C-C motif) ligand 20",0.378178942912271,2.1736724271259,0.920911672123763,0.376377726387102,0.734867709267524,-5.74340317746469
"66","17214924","Sp140","434484","Sp140 nuclear body protein",-0.176815260811609,3.27556961751181,-0.262959984736674,0.797324096300684,0.937899574350167,-6.1327964146685
"67","17215222","Eif4e2","26987","eukaryotic translation initiation factor 4E member 2",0.0558217519489119,8.0508577247705,0.261790558678124,0.798203265080778,0.938013946699551,-6.13311407473956
"68","17215309","Inpp5d","16331","inositol polyphosphate-5-phosphatase D",-0.899196109316143,5.66510130482853,-3.57496570294169,0.00419427861326507,0.195184030383385,-1.80966013229878
"69","17215395","Dgkd","227333","diacylglycerol kinase, delta",0.0908817662712309,8.5124086111605,0.297073886266711,0.77181101111299,0.926912908408371,-6.12291568086941
"70","17215605","Ackr3","12778","atypical chemokine receptor 3",1.20765021888983,7.85763254862178,4.58441832527977,0.000736083501573012,0.0919797675507276,-0.183329771217056
"71","17215612","Cops8","108679","COP9 signalosome subunit 8",-0.176617496172308,8.00583417690703,-0.879413949767801,0.397530152610994,0.746893687946311,-5.77960070987994
"72","17215647","Prlh","623503","prolactin releasing hormone",0.823836301398476,2.54260168006362,2.05515508322268,0.0637827170354625,0.428441111744852,-4.31395939827464
"73","17215650","Lrrfip1","16978","leucine rich repeat (in FLII) interacting protein 1",-0.493035836787614,5.17670985314756,-1.63726236381795,0.12915383733514,0.539693458070793,-4.92199086043559
"74","17215697","Ramp1","51801","receptor (calcitonin) activity modifying protein 1",-0.589720262313814,2.60324826302401,-1.24095374575314,0.239819309932465,0.645745538426552,-5.41886570553054
"75","17215705","Ube2f","67921","ubiquitin-conjugating enzyme E2F (putative)",-0.333652842090264,5.39389962630756,-1.28291251987978,0.22526400990027,0.632811522135887,-5.3708179620553
"76","17215750","Klhl30","70788","kelch-like 30",-0.345137626450291,2.65919066427854,-0.65678173853879,0.52449865299085,0.817128031334836,-5.9483584312789
"77","17215773","Traf3ip1","74019","TRAF3 interacting protein 1",-0.456296912042322,4.27830425107707,-1.17381245784976,0.264665799241032,0.661995606275108,-5.49323932536346
"78","17215799","Twist2","13345","twist basic helix-loop-helix transcription factor 2",0.781674021205336,2.98609772371487,1.00595402063374,0.335535992405412,0.710777205462968,-5.66481920756255
"79","17215813","Olfr1411","258483","olfactory receptor 1411",1.11077368570349,2.99647614539505,2.15141682130483,0.0539222137688769,0.402275194657192,-4.16497546986682
"80","17215820","Gpc1","14733","glypican 1",-0.366618590548432,5.23901633462784,-0.826281543666235,0.425781976048117,0.768381017326186,-5.82382717683578
"81","17215834","Dusp28","67446","dual specificity phosphatase 28",-0.314458770633492,5.64758273920916,-0.775039927307875,0.454261867568089,0.783942562965403,-5.86417309981208
"82","17215839","Rnpepl1","108657","arginyl aminopeptidase (aminopeptidase B)-like 1",-0.27407673415359,7.93878855640956,-1.36181065790572,0.199843501388608,0.609385521773702,-5.27734114778175
"83","17216133","Gal3st2c","619597","galactose-3-O-sulfotransferase 2C",-0.666164184925415,2.24683478858575,-2.26494346870297,0.0441491695180694,0.380469423519225,-3.98598137599493
"84","17216353","Zcchc2","227449","zinc finger, CCHC domain containing 2",0.210453330376319,7.33126421132126,0.567785454138424,0.581309349044453,0.844110467246547,-6.0032178731545
"85","17216373","Phlpp1","98432","PH domain and leucine rich repeat protein phosphatase 1",-0.279570797533262,6.96675459638086,-0.936455035176393,0.368661534996297,0.730079814258445,-5.72947793424319
"86","17216563","Nifk","67949","nucleolar protein interacting with the FHA domain of MKI67",-0.00750429930268925,7.39023920846142,-0.0167013114571605,0.986966745926915,0.996939464814691,-6.16855885115973
"87","17216638","Tmem185b","226351","transmembrane protein 185B",-0.167998080514397,6.09681978870536,-0.607647329712787,0.555460942828023,0.831091833647641,-5.97956628694359
"88","17216642","Sctr","319229","secretin receptor",-0.146390872755016,7.13500019423996,-0.333436832027549,0.744922395686804,0.91802846298119,-6.11108098022481
"89","17216836","R3hdm1","226412","R3H domain containing 1",-0.0816568231397401,8.60053843678871,-0.269386936286687,0.792497598212834,0.935556032929837,-6.13102566903403
"90","17216870","Ubxn4","67812","UBX domain protein 4",-0.59226171786993,8.28793602983438,-2.95403659748854,0.0127984343005125,0.23959461285146,-2.85135535246076
"91","17216937","Yod1","226418","YOD1 deubiquitinase",-0.0117715756843033,5.59811267555193,-0.0421535735756122,0.967113423559263,0.992255896074455,-6.16777855093496
"92","17217116","Rab29","226422","RAB29, member RAS oncogene family",-0.229130555465678,5.89938747497503,-0.606587445167187,0.556139896547902,0.831091833647641,-5.98021458863519
"93","17217182","Nuak2","74137","NUAK family, SNF1-like kinase, 2",-0.22459930906471,3.60678019644064,-0.519891410980946,0.613192419287455,0.857126108339818,-6.02963105543766
"94","17217216","Rbbp5","213464","retinoblastoma binding protein 5, histone lysine methyltransferase complex subunit",-0.323823005542155,7.21153652733298,-1.12248703916954,0.284987063444895,0.679392848387314,-5.54793377668297
"95","17217247","Pik3c2b","240752","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta",-0.235839769659685,4.83710214996416,-1.09613983346356,0.295875268397791,0.683196832167933,-5.57526091328718
"96","17217283","Ppp1r15b","108954","protein phosphatase 1, regulatory (inhibitor) subunit 15b",0.0893899181326034,9.72848466070326,0.349258599664649,0.733330056679269,0.911976581354639,-6.10551404209329
"97","17217291","Plekha6","240753","pleckstrin homology domain containing, family A member 6",-0.197311537310003,3.37268234842484,-0.567701903921193,0.581364194402685,0.844110467246547,-6.00326586317093
"98","17217415","Mybph","53311","myosin binding protein H",-0.308536459481056,4.28571969130951,-0.430519941108925,0.674930743557258,0.885828140012349,-6.07296650371621
"99","17217552","Ube2t","67196","ubiquitin-conjugating enzyme E2T",-0.265332304790872,2.16468654307999,-0.702618949753383,0.49654193369316,0.802116487554963,-5.91723133427316
"100","17217566","Ptpn7","320139","protein tyrosine phosphatase, non-receptor type 7",-0.749890067786702,3.06775981694504,-1.67088619800644,0.122236796897978,0.528276665711585,-4.87584053178804
"101","17217619","Phlda3","27280","pleckstrin homology like domain, family A, member 3",-0.347567760127694,9.61306830313325,-1.39969093157563,0.188510363085097,0.598849345403219,-5.2310647396112
"102","17217625","Tnni1","21952","troponin I, skeletal, slow 1",-0.939469595768158,3.77450073789962,-0.778556453130186,0.452269020243644,0.783942562965403,-5.86147778511845
"103","17217666","Tmem9","66241","transmembrane protein 9",-0.0275767575824215,6.11192246378528,-0.0893346279144519,0.930382935126819,0.982644276261782,-6.16454817829802
"104","17217678","Cacna1s","12292","calcium channel, voltage-dependent, L type, alpha 1S subunit",-0.480309506547884,5.27104643720988,-0.251448448109483,0.805990957071261,0.940714878480915,-6.13586250079864
"105","17217777","Ddx59","67997","DEAD (Asp-Glu-Ala-Asp) box polypeptide 59",-0.0432319227808531,4.77142256808601,-0.187924420049921,0.854274925044192,0.957388079300273,-6.15033656930868
"106","17218006","B3galt2","26878","UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2",1.16932190499374,7.07388661300447,1.71435982305742,0.113782225110508,0.517910135039365,-4.81536734428492
"107","17218027","Uchl5","56207","ubiquitin carboxyl-terminal esterase L5",0.0104698185764098,7.01282319612501,0.0410839020929727,0.967947421951064,0.99228696660179,-6.16782492699535
"108","17218149","Ivns1abp","117198","influenza virus NS1A binding protein",0.109058114007693,11.2194983601847,0.374761084209254,0.714790735698104,0.902638519587418,-6.09601049597233
"109","17218233","Colgalt2","269132","collagen beta(1-O)galactosyltransferase 2",-1.08527514286633,4.48597359516584,-4.32861256003895,0.0011309160842548,0.11884558443785,-0.583187988309843
"110","17218449","Angptl1","72713","angiopoietin-like 1",0.570876185699495,4.82010790648567,1.44787625305901,0.174877789169963,0.585659955020344,-5.17094347443922
"111","17218514","Astn1","11899","astrotactin 1",0.204351789678493,2.19319152177456,0.540330911910881,0.599478237605125,0.852422760431369,-6.01862827880883
"112","17218598","4930523C07Rik","67647","RIKEN cDNA 4930523C07 gene",0.158808536737991,6.73234490818864,0.554659183590242,0.589959512045444,0.846144704267951,-6.01067572233269
"113","17218620","Rc3h1","381305","RING CCCH (C3H) domains 1",-0.0374208601386812,9.34809708867637,-0.116314579011626,0.909448898171181,0.97494815259877,-6.16166062162804
"114","17218760","Gm20471","105243993","predicted gene 20471",0.759406907826886,2.04840467360636,1.90489961139868,0.0826027885316146,0.470861176777428,-4.54052272397068
"115","17218835","Sell","20343","selectin, lymphocyte",-0.338403196662793,5.26390682399909,-0.70295918484305,0.496337841977312,0.80200279530709,-5.91699310551403
"116","17218907","Nme7","171567","NME/NM23 family member 7",-0.433370987546675,4.33849979445511,-1.30353726745048,0.218376561535595,0.626907723177304,-5.34677073432968
"117","17218942","Gpr161","240888","G protein-coupled receptor 161",-0.102655395669423,3.34800535596971,-0.261198576312818,0.798648425650316,0.938169458881825,-6.13327434643673
"118","17219011","Cd247","12503","CD247 antigen",-0.252977959003036,3.94647630319306,-0.964684375599588,0.354935587637486,0.722396896725362,-5.7036830651771
"119","17219079","Fam78b","226610","family with sequence similarity 78, member B",0.711181105372392,4.79732719003909,2.1682196455606,0.0523560605791459,0.401062134551363,-4.13869579495013
"120","17219199","Fcgr4","246256","Fc receptor, IgG, low affinity IV",-0.961260712871173,4.75965296073107,-1.53721087623717,0.151813868443607,0.566044063204901,-5.05592887433287
"121","17219222","Mpz","17528","myelin protein zero",-0.523258654013836,6.38762572925649,-0.461186442059173,0.653433110876032,0.874219390094229,-6.05897858434933
"122","17219242","Apoa2","11807","apolipoprotein A-II",0.68366592881582,4.39066110986636,1.76443289369482,0.104695612957874,0.501764071233233,-4.74463607531173
"123","17219248","Adamts4","240913","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4",1.0433608195841,3.91394187581496,1.63105455224483,0.130468058966477,0.54072622158224,-4.93045053308129
"124","17219397","Cd48","12506","CD48 antigen",-1.26380558876848,3.47549389433735,-3.50100319003078,0.00478460777301751,0.200685856101811,-1.93298650746417
"125","17219499","Dcaf8","98193","DDB1 and CUL4 associated factor 8",-0.0235981793785847,8.28167629641735,-0.0930282875893542,0.927513369724944,0.981095998131773,-6.1641975446889
"126","17219546","Slamf9","98365","SLAM family member 9",-0.772703548421688,3.84307054704955,-2.06593301152154,0.0625997297158576,0.424812690108649,-4.29741743237145
"127","17219581","Tagln2","21346","transgelin 2",-0.362725435539843,7.62531957934156,-1.51546833432683,0.15717173735961,0.570306548208664,-5.08433296643515
"128","17219633","Olfr218","258880","olfactory receptor 218",0.637151276506691,1.88321698492309,1.0911100888975,0.297989436148059,0.683453647542998,-5.58041894013108
"129","17219639","Olfr418","258645","olfactory receptor 418",0.288506717211801,1.69057784075982,0.435401483782372,0.671487797409542,0.883273240710294,-6.07080199576967
"130","17219662","Ifi209","236312","interferon activated gene 209",-0.211411190133419,4.09380197809327,-0.443683899418237,0.665664158764618,0.880267074837771,-6.06707564051158
"131","17219680","Olfr432","258711","olfactory receptor 432",0.650019187512728,1.7595273498804,2.08080919566264,0.06100072541763,0.423965644327862,-4.27452612432739
"132","17219688","Olfr424","258716","olfactory receptor 424",0.763219697272846,1.71643525496971,1.26190033408029,0.232461144725898,0.640396623397278,-5.39502726093309
"133","17219869","Sdccag8","76816","serologically defined colon cancer antigen 8",0.235464703207542,4.97452387121646,0.782917391439498,0.449805456083513,0.783298406406219,-5.85812011731188
"134","17219963","Desi2","78825","desumoylating isopeptidase 2",0.0362943455221929,6.15248938151097,0.172495300745422,0.866105193441465,0.961202867829801,-6.15322484561993
"135","17220018","Cnst","226744","consortin, connexin sorting protein",-1.13689835766018,6.48029144682982,-3.35517419358425,0.0062104200810877,0.205667888236535,-2.1770887308798
"136","17220148","Lin9","72568","lin-9 homolog (C. elegans)",-0.0850071862503397,5.03665380521904,-0.2940800643215,0.774039323509779,0.928166305959947,-6.12383026624928
"137","17220166","Acbd3","170760","acyl-Coenzyme A binding domain containing 3",-0.35703562081499,8.10604994178858,-1.65749799878136,0.124950665168955,0.533593107709585,-4.89428259945744
"138","17220255","Cnih4","98417","cornichon family AMPA receptor auxiliary protein 4",0.0317317504596017,6.83983876657992,0.136221237776948,0.894047911782242,0.972580608974842,-6.15904562271264
"139","17220370","1700047M11Rik","67330","RIKEN cDNA 1700047M11 gene",-0.178951723165685,2.46812195807448,-0.390769638150639,0.703249295612643,0.899238856422226,-6.08971169722137
"140","17220432","Tlr5","53791","toll-like receptor 5",0.617230149355313,5.76641575618364,1.98250106249789,0.0723196119117564,0.452298359080943,-4.42448650706807
"141","17220452","Taf1a","21339","TATA-box binding protein associated factor, RNA polymerase I, A",-0.213074727577252,5.85784100915413,-0.857115868267221,0.409227147053195,0.756874630905045,-5.79845405843316
"142","17220529","Mir194-1","387189","microRNA 194-1",-0.217636300167494,3.35019173979369,-0.593404206704007,0.564623308058687,0.835169075643897,-5.9881899353986
"143","17220548","Eprs","107508","glutamyl-prolyl-tRNA synthetase",0.0708300812334457,8.55919294372099,0.375683634751107,0.714123565311275,0.902638519587418,-6.09565447034901
"144","17220627","Esrrg","26381","estrogen-related receptor gamma",0.795338453892664,5.7934171576671,1.92439794191315,0.0798990626108999,0.466135472133632,-4.51157342005704
"145","17220724","Ptpn14","19250","protein tyrosine phosphatase, non-receptor type 14",0.215880811917707,6.96654249852187,1.15301578007949,0.27275928033985,0.670317964938024,-5.51563089639795
"146","17220794","D730003I15Rik","100504360","RIKEN cDNA D730003I15 gene",-0.599355992431968,5.33596284909078,-1.20754857670261,0.25193866573768,0.65388494898079,-5.45626212184875
"147","17220797","Tmem206","66950","transmembrane protein 206",-0.244018852749573,4.04754219739832,-0.952174368621755,0.360972524557513,0.728251384671811,-5.71519404449755
"148","17220809","Ints7","77065","integrator complex subunit 7",0.0200950082792826,7.15541799468596,0.0998280170246253,0.922233566583573,0.979656234751902,-6.16351497692399
"149","17220833","Lpgat1","226856","lysophosphatidylglycerol acyltransferase 1",-0.924213571269952,7.94939266608864,-2.65995849753345,0.021774682214708,0.296155428398682,-3.34262520074647
"150","17220882","Kcnh1","16510","potassium voltage-gated channel, subfamily H (eag-related), member 1",0.207583310797301,3.4349556619413,0.791590235589742,0.444931805334484,0.78055015162218,-5.85139284809682
"151","17220944","Lamb3","16780","laminin, beta 3",0.0416285907914347,3.61326403832152,0.092021665288857,0.928295299478364,0.981095998131773,-6.16429450765298
"152","17220974","Plxna2","18845","plexin A2",0.844940840108825,7.64460691881228,3.61193728599473,0.00392774746472811,0.191963809195099,-1.74815811903072
"153","17221010","Mir3962","100628615","microRNA 3962",0.953762448325042,2.31736174786782,1.48083898339668,0.16604119014704,0.581047292008137,-5.12903062448193
"154","17221014","Cd34","12490","CD34 antigen",-0.810982593360533,9.33600979797924,-3.22875984504429,0.00779437207538242,0.214578101418093,-2.38940713129701
"155","17221071","Sox17","20671","SRY (sex determining region Y)-box 17",0.536203980846859,6.76728410161172,1.05493077128304,0.313535486693881,0.698501729016841,-5.61695806433322
"156","17221186","Snhg6","73824","small nucleolar RNA host gene 6",0.0618610788559941,5.89355449564597,0.206472554393582,0.840102610014042,0.953755052742949,-6.1465393555522
"157","17221191","Snord87","266793","small nucleolar RNA, C/D box 87",-0.695946719574197,5.29779402611514,-1.65884420939626,0.124675385725006,0.533593107709585,-4.89243214194367
"158","17221197","Tcf24","100039596","transcription factor 24",0.863961625867161,5.0272097435118,2.37263900942095,0.0364628936415066,0.358429039046756,-3.81335653606397
"159","17221375","Eya1","14048","EYA transcriptional coactivator and phosphatase 1",0.487032940467566,5.89300490415395,0.703836031330533,0.49581209590545,0.801979752782459,-5.91637866258396
"160","17221502","Jph1","57339","junctophilin 1",-0.563284569659519,5.70920512498298,-0.885018689752368,0.394626416997373,0.745924954054005,-5.77479583248886
